interest,categories
Kayaking,"Outdoors, Sports"
Kite flying,Outdoors
Kitesurfing,"Outdoors, Sports"
Lacrosse,"Outdoors, Sports"
LARPing,Outdoors
Letterboxing,Outdoors
Longboarding,"Outdoors, Sports"
Martial arts,"Outdoors, Sports"
Metal detecting,Outdoors
Meteorology,Outdoors
Motor sports,"Outdoors, Sports"
Mountain biking,"Outdoors, Sports"
Mountaineering,Outdoors
Mushroom hunting/mycology,Outdoors
Netball,"Outdoors, Sports"
Nordic skating,"Outdoors, Sports"
Orienteering,Outdoors
Paintball,"Outdoors, Sports"
Parkour,"Outdoors, Sports"
Photography,Outdoors
Podcast hosting,Outdoors
Sports,"Outdoors, Sports"
Polo,"Outdoors, Sports"
Rafting,"Outdoors, Sports"
Rappelling,"Outdoors, Sports"
Road biking,"Outdoors, Sports"
Rock climbing,"Outdoors, Sports"
Roller skating,"Outdoors, Sports"
Rugby,"Outdoors, Sports"
Running,"Outdoors, Sports"
Sailing,"Outdoors, Sports"
Sand art,"Outdoors, Sports"
Scouting,"Outdoors, Sports"
Scuba diving,"Outdoors, Sports"
Sculling or rowing,"Outdoors, Sports"
Shooting,"Outdoors, Sports"
Shopping,Outdoors
Shuffleboard,"Outdoors, Sports"
Skateboarding,"Outdoors, Sports"
Skiing,"Outdoors, Sports"
Skimboarding,"Outdoors, Sports"
Skydiving,"Outdoors, Sports"
Slacklining,"Outdoors, Sports"
Snowboarding,"Outdoors, Sports"
Snowmobiling,"Outdoors, Sports"
Snowshoeing,"Outdoors, Sports"
Soccer,"Outdoors, Sports"
Stone skipping,Outdoors
Sun bathing,Outdoors
Surfing,"Outdoors, Sports"
Survivalism,Outdoors
Swimming,"Outdoors, Sports"
Taekwondo,"Outdoors, Sports"
Tai chi,"Outdoors, Sports"
Topiary,Outdoors
Thru-hiking,Outdoors
Travel,Outdoors
Urban exploration,Outdoors
Vacation,Outdoors
Vegetable farming,"Outdoors, Gardening"
Vehicle restoration,Outdoors
Walking,Outdoors
Water sports,"Outdoors, Sports"
Collection hobbies,Indoors
Indoors,Indoors
Action figure,Indoors
Antiquing,Indoors
Art collecting,Indoors
Book collecting,Indoors
Button collecting,Indoors
Cartophily (card collecting),Indoors
Coin collecting,Indoors
Comic book collecting,Indoors
Deltiology (postcard collecting),Indoors
Die-cast toy,Indoors
Dolls,Indoors
Element collecting,Indoors
Ephemera collecting,Indoors
Fusilately (phonecard collecting),Indoors
Knife collecting,Indoors
Lotology (lottery ticket collecting),Indoors
Movie and movie memorabilia collecting,"Indoors, Media"
Perfume,Indoors
Phillumeny,Indoors
Pin (lapel),Indoors
Rail transport modelling,Indoors
Record collecting,Indoors
Rock tumbling,Indoors
Scutelliphily,Indoors
Shoes,"Indoors, Fashion"
Sports memorabilia,"Indoors, Sports"
Stamp collecting,Indoors
Stuffed toy collecting,Indoors
Tea bag collecting,Indoors
Ticket collecting,Indoors
Toys,Indoors
Video game collecting,Indoors
Vintage cars,Indoors
Vintage clothing,Indoors
Vinyl Records,Indoors
Public Toilet,"Indoors, Outdoors, Sports"
Antiquities,Indoors
Auto audiophilia,Indoors
Flower collecting and pressing,"Indoors, Gardening"
Fossil hunting,Indoors
Insect collecting,Indoors
Magnet fishing,Indoors
Metal detecting,Indoors
Mineral collecting,Indoors
Rock balancing,Indoors
Sea glass collecting,Indoors
Seashell collecting,Indoors
Stone collecting,Indoors
Competitive hobbies,Indoors
Animals,"Indoors, Outdoors"
Axe throwing,"Indoors, Sports"
Backgammon,"Indoors, Sports"
Badminton,"Indoors, Sports"
Baton twirling,"Indoors, Sports"
Beauty pageants,"Indoors, Sports"
Billiards,"Indoors, Sports"
Bowling,"Indoors, Sports"
Boxing,"Indoors, Sports"
Bridge,"Indoors, Sports"
Checkers,"Indoors, Sports"
Cheerleading,"Indoors, Sports"
Chess,"Indoors, Sports"
Color guard,"Indoors, Sports"
Cribbage,"Indoors, Sports"
Curling,"Indoors, Sports"
Dancing,"Indoors, Sports"
Darts,"Indoors, Sports"
Debate,"Indoors, Sports"
Dominoes,"Indoors, Sports"
Eating,"Indoors, Sports"
Esports,"Indoors, Sports"
Fencing,"Indoors, Sports"
Go,"Indoors, Sports"
Gymnastics,"Indoors, Sports"
Ice hockey,"Indoors, Sports"
Ice skating,"Indoors, Sports"
Judo,"Indoors, Sports"
Jujitsu,"Indoors, Sports"
Kabaddi,"Indoors, Sports"
Knowledge/word games,"Indoors, Sports"
Laser tag,"Indoors, Sports"
Longboarding,"Indoors, Sports"
Mahjong,"Indoors, Sports"
Marbles,"Indoors, Sports"
Martial arts,"Indoors, Sports"
Model racing,"Indoors, Sports"
Model United Nations,"Indoors, Sports"
Poker,"Indoors, Sports"
Pool,"Indoors, Sports"
Role-playing games,"Indoors, Sports"
Shogi,"Indoors, Sports"
Slot car racing,"Indoors, Sports"
Speedcubing,"Indoors, Sports"
Sport stacking,"Indoors, Sports"
Table football,"Indoors, Sports"
Table tennis,"Indoors, Sports"
Volleyball,"Indoors, Sports"
Weightlifting,"Indoors, Sports"
Wrestling,"Indoors, Sports"
Airsoft,"Outdoors, Sports"
American football,"Outdoors, Sports"
Archery,"Outdoors, Sports"
Association football,"Outdoors, Sports"
Australian rules football,"Outdoors, Sports"
Auto racing,"Outdoors, Sports"
Baseball,"Outdoors, Sports"
Beach volleyball,"Outdoors, Sports"
Breakdancing,"Outdoors, Sports"
Climbing,"Outdoors, Sports"
Cricket,"Outdoors, Sports"
Croquet,"Outdoors, Sports"
Cycling,"Outdoors, Sports"
Disc golf,"Outdoors, Sports"
Dog sport,"Outdoors, Sports"
Equestrianism,"Outdoors, Sports"
Exhibition drill,"Outdoors, Sports"
Field hockey,"Outdoors, Sports"
Figure skating,"Outdoors, Sports"
Fishing,"Outdoors, Sports"
Footbag,"Outdoors, Sports"
Frisbee,"Outdoors, Sports"
Golfing,"Outdoors, Sports"
Handball,"Outdoors, Sports"
Horseback riding,"Outdoors, Sports"
Horseshoes,"Outdoors, Sports"
Iceboat racing,"Outdoors, Sports"
Jukskei,"Outdoors, Sports"
Kart racing,"Outdoors, Sports"
Knife throwing,"Outdoors, Sports"
Lacrosse,"Outdoors, Sports"
Longboarding,"Outdoors, Sports"
Long-distance running,"Outdoors, Sports"
Marching band,"Outdoors, Sports"
Model aircraft,"Outdoors, Sports"
Orienteering,"Outdoors, Sports"
Powerboat racing,"Outdoors, Sports"
Race walking,"Outdoors, Sports"
Racquetball,"Outdoors, Sports"
Radio-controlled car racing,"Outdoors, Sports"
Roller derby,"Outdoors, Sports"
Rugby league football,"Outdoors, Sports"
Sculling or rowing,"Outdoors, Sports"
Shooting sport,"Outdoors, Sports"
Skateboarding,"Outdoors, Sports"
Softball,"Outdoors, Sports"
Speed skating,"Outdoors, Sports"
Squash,"Outdoors, Sports"
Surfing,"Outdoors, Sports"
Swimming,"Outdoors, Sports"
Table tennis,"Outdoors, Sports"
Tennis,"Outdoors, Sports"
Tennis polo,"Outdoors, Sports"
Tether car,"Outdoors, Sports"
Tour skating,"Outdoors, Sports"
Trapshooting,"Outdoors, Sports"
Triathlon,"Outdoors, Sports"
Ultimate frisbee,"Outdoors, Sports"
Volleyball,"Outdoors, Sports"
Water polo,"Indoors, Outdoors, Sports"
Observation hobbies,Indoors
Fishkeeping,Indoors
Learning,Indoors
Meditation,Indoors
Microscopy,Indoors
Reading,"Indoors, Books"
Shortwave listening,Indoors
Audiophile,Indoors
Videophilia,Indoors
Aircraft spotting,Outdoors
Amateur astronomy,Outdoors
Birdwatching,Outdoors
Bus spotting,Outdoors
Geocaching,Outdoors
Gongoozling,Outdoors
Herping,Outdoors
Hiking/backpacking,Outdoors
Meteorology,Outdoors
Photography,Outdoors
Satellite watching,Outdoors
Trainspotting,Outdoors
Traveling,"Outdoors, Travel"
Whale watching,Outdoors
Religion,Studies
Accounting,Studies
Animation & Visual Effects,"Studies, Media, Games, Art"
Architectural Engineering,Studies
Architecture,Studies
